Tamil,English
பகுதி (paguthi),part
வரலாறு (varalaru),history
தேடல் (thedal),search
மட்டும் (matum),only
போலீசார் (pooleesaar),police
எண்ணினேன் (eṇṇiṉēṉ),thought
உதவி (uthavi),help
கேட்டு (kēṭṭu),request
வகை (vakai),kind
மாதம் (maatham),month
சகோதரன் (sagōtharan),brother
விடுவோம் (viṭuvōm),let
ஏனெனில் (ēṉeṉil),because
வைப்பது (vaippathu),to put
எதுவும் (etuvum),no
கழுவுதல் (kaḻuvuthal),leash
அவர்கள் (avarkaḷ),them
நகரம் (nagarām),city
ஒவ்வொறு (ovvoru),each
பேசினேன் (pēciṉēṉ),speak
வந்தது (vantathu),come
தேவை (tēvai),should
குழந்தை (kuḻantai),baby
நீண்ட நேரம் (nīṇṭa nēram),long time
மணிநேரம் (maṇi-nēram),hours
போகிறார்கள் (pōkiṟārkaḷ),will
கால் (kāl),while
மீண்டும் சந்திக்க (mīṇṭum cantikka),meet again
எந்தவொரு (entavoru),any
சதுக்கம் (sadukkam),square
பேசுகிறார் (pēcihuṟār),speak
புரிந்தேன் (purintēṉ),understood
அறிவிருந்தேன் (aṟiviruṉēṉ),knew
இருந்தனர் (iruṅṭaṉar),were
எச்சரிக்கை (eṣcarikkai),warning
இது (itu),here is
செய்ய முடியாது (ceyyamudiādu),could
வழக்கு (vaḻakku),case
கொடுக்க (koṭukka),give
வகை (vakai),type
அவர்களின் (avarkaḷiṉ),their
கொடுத்த (koṭutta),given
ரயில் (rayil),train
உடல் (uṭal),body
இடம் (iṭam),place
கண்கள் (kaṇkaḷ),eyes
முறை (muṟai),way
கேளுங்கள் (kēḷuṅkaḷ),listen
யார் (yār),whose
கண்டுபிடிக்க (kaṇṭupiṭikka),find
முதலில் (mutalil),first
இழந்த (iḻanta),lost
கை (kai),hand
முதற்கட்ட (mutarkaṭṭa),first
பக்கம் (pakkam),side
சக்தி (sakti),power
பழைய (paḻaiya),old
இரு (iru),be
இது (itu),here
காலை (kālai),morning
மிகவும் (mikavum),so much
குழந்தை (kuḻantai),child
புள்ளி (puḷḷi),point
வந்த (vanda),came
தொடர்ந்து (toṭarntu),after
மன்னிப்பு (maṉṉippu),sorry
வாருங்கள் (vāruṅkaḷ),come
முன் (muṉ),in front of
நோக்கி (nōkki),towards
நிமிடங்கள் (nimiṭaṅkaḷ),minutes
கேட்டு (kēṭṭu),request
அறை (aṟai),bedroom
வைக்கப்பட்டது (vaikkappaṭṭatu),placed
அழகான (aḻakāṉa),beautiful
உரிமை (urimai),law
விரும்புகிறேன் (virumpukiṟēṉ),would like to
இன்று (iṉṟu),today
கணவர் (kaṇavar),husband
காரணம் (kāraṇam),cause
இறுதியாக (iṟutiyāka),finally
நம்புகிறேன் (nampukiṟēṉ),hope
தண்ணீர் (taṇṇīr),water
காத்திருங்கள் (kāttiruṅkaḷ),wait
சென்றார் (ceññār),left
புதிய (putiya),new
வேலை (vēlai),job
நிறுத்து (niṟuttu),stop
சொல்வார் (colvāṟ),would say
பூமி (pūmi),Earth
கணக்கு (kaṇakku),account
கொடுக்கும் (koṭukkum),given
தொலைவில் (toḷaivil),far
முடிவு (muṭivu),end
நம்புதல் (namputhal),believe
காதலிக்க (kādalikka),sweetheart
பெரிய (periya),large
மாறாக (māṟāka),rather
இருக்கும் (irukkum),will have
பெண்கள் (peṇkaḷ),girls
விளையாட (viḷaiyāḍa),to play
அலுவலகம் (aluvalakam),office
